Reference,Value,Datasheet,Footprint,Qty,DNP,
BR1,DB107,,DB107:DIP825W50P509L880H320Q4,1,,done
"C1,C4",22uF 400V,~,Capacitor_THT:CP_Radial_D10.0mm_P7.50mm,2,,done
C2,"0.1uF,16V",~,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,1,,
C5,470uF 50V,~,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,1,,
C6,1500uf 25V,~,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,1,,
C7,100uf 25V,~,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,1,,
C8,C,~,Capacitor_THT:CP_Radial_D7.5mm_P2.50mm,1,,
D1,P6KE200A,,P6KE200A:DIOAD1276W78L760D360,1,,
D2,FR106G,,FR106G:DIOAD1036W78L470D235,1,,
D3,D_Schottky,~,Diode_SMD:D_3220_8050Metric_Pad2.65x5.15mm_HandSolder,1,,
D4,LED,~,LED_THT:LED_D5.0mm,1,,
F1,1A 250VAC,~,Connector_Molex:Molex_KK-396_5273-02A_1x02_P3.96mm_Vertical,1,,
FL1,CMF16-103161-B,https://componentsearchengine.com/Datasheets/1/CMF16-103161-B.pdf,CMF16-103161:CMF16-103161,1,,
J1,INPUT_AC,~,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,1,,
J2,OUTPUT_DC,~,TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm,1,,
L2,3.3uH 2.66A,~,Custom_parts:CD43 3.3uH 1A,1,,
"R1,R2",1M,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,
R3,22,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,
R4,23.75k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,
R5,9.09k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,
R6,133 1%,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,
R7,1K,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,
R8,588,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,
RV1,MOV-14D471K-275V,,MOV-14D471K:MOV14D471K,1,,
T1,Transformer_1P_SS,~,Transformer_THT:EE16-A2,1,,
U1,TNY268P,http://www.powerint.com/sites/default/files/product-docs/tny263_268.pdf,Package_DIP:PowerIntegrations_PDIP-8B,1,,
U2,PC817,http://www.soselectronic.cz/a_info/resource/d/pc817.pdf,Package_DIP:DIP-4_W7.62mm,1,,
VR1,TL431AIDBZR,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftl431,digikey-footprints:SOT-23-3,1,,
